Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,cpm_income,dpm_income,Case_7_Day_income,Death_7_Day_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,cpm_region,dpm_region,Case_7_Day_region,Death_7_Day_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
Afghanistan,2023-01-01,207616,7849,57,0,Low income,Eastern Mediterranean Region,38972230,31,0.428571428571429,2020,5327.28047638023,201.399817254491,0.795438187653106,0.01099684130396,2268178,47780,3244.02412908013,68.3365559878672,339,1.57142857142857,0.484849151944055,0.00224750976459528,22521625,343387,30063.7973292019,458.382429042427,603.285714285714,5.42857142857143,0.805317531301072,0.00724652289591303
Albania,2023-01-01,333811,3595,5,0,Upper middle income,European Region,2866849,8.85714285714286,0,2020,116438.291657496,1253.99000784485,3.0895044898224,0,137412389,2438002,54691.9955726069,970.357880831304,122286.857142857,374.142857142857,48.6718286328983,0.148913934437015,270312315,2167991,290693.897575849,2331.45779429014,110565,594.285714285714,118.901614917077,0.639094931947002
Algeria,2023-01-01,271229,6881,1,0,Lower middle income,African Region,43451666,4.42857142857143,0,2020,6242.08517114166,158.359865879481,0.101919485171672,0,97001315,1343905,28903.4388343843,400.442777159498,4192.71428571429,45.8571428571429,1.24930121727929,0.0136640325308069,8917375,174079,7864.92858284118,153.5338485566,602.857142857143,2.14285714285714,0.531706738163093,0.00188995286076929
American Samoa,2023-01-01,8266,34,0,0,Upper middle income,,46189,0,0,2020,178960.358526922,736.105999263894,0,0,137412389,2438002,54691.9955726069,970.357880831304,122286.857142857,374.142857142857,48.6718286328983,0.148913934437015,3789336,21288,,,1208,5.14285714285714,,
Andorra,2023-01-01,47751,165,0,0,High income,European Region,77700,9.28571428571429,0,2020,614555.984555985,2123.55212355212,119.507262364405,0,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,270312315,2167991,290693.897575849,2331.45779429014,110565,594.285714285714,118.901614917077,0.639094931947002
Angola,2023-01-01,105095,1930,0,0,Lower middle income,African Region,33428486,17.4285714285714,0.285714285714286,2020,3143.87555571616,57.735190280529,0.521368853754592,0.00854703038941954,97001315,1343905,28903.4388343843,400.442777159498,4192.71428571429,45.8571428571429,1.24930121727929,0.0136640325308069,8917375,174079,7864.92858284118,153.5338485566,602.857142857143,2.14285714285714,0.531706738163093,0.00188995286076929
Anguilla,2023-01-01,3904,12,0,0,,,15585,0,0,2020,250497.273018928,769.971126082772,0,0,18231549,105356,,,17601,41.2857142857143,,,3789336,21288,,,1208,5.14285714285714,,
Antarctica,2023-01-01,11,0,0,0,,,,0,0,,,,,,18231549,105356,,,17601,41.2857142857143,,,3789336,21288,,,1208,5.14285714285714,,
Antigua and Barbuda,2023-01-01,9106,146,0,0,High income,Region of the Americas,92664,0,0,2020,98269.0149356816,1575.58490891824,0,0,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,184649250,2886271,180911.153570043,2827.84043870074,125141.571428571,616.571428571429,122.608166817416,0.604089366196649
Argentina,2023-01-01,9891139,130124,0,0,Upper middle income,Region of the Americas,45036032,8843.28571428571,6.28571428571429,2020,219627.230924785,2889.33092506906,196.360232497519,0.13957078380516,137412389,2438002,54691.9955726069,970.357880831304,122286.857142857,374.142857142857,48.6718286328983,0.148913934437015,184649250,2886271,180911.153570043,2827.84043870074,125141.571428571,616.571428571429,122.608166817416,0.604089366196649
Armenia,2023-01-01,445976,8716,0,0,Upper middle income,European Region,2805608,13.5714285714286,0.571428571428571,2020,158958.771146931,3106.63499676362,4.83725045388685,0.203673703321551,137412389,2438002,54691.9955726069,970.357880831304,122286.857142857,374.142857142857,48.6718286328983,0.148913934437015,270312315,2167991,290693.897575849,2331.45779429014,110565,594.285714285714,118.901614917077,0.639094931947002
Aruba,2023-01-01,43752,280,0,0,High income,,106585,0,0,2020,410489.280855655,2627.0113055308,0,0,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,3789336,21288,,,1208,5.14285714285714,,
Australia,2023-01-01,11132933,17052,1226,0,High income,Western Pacific Region,25670051,7733.85714285714,16,2020,433693.45078434,664.276046822034,301.27938362324,0.623294437552929,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,109859521,296798,56275.4555181567,152.034548256203,280514.714285714,512.714285714286,143.69344761638,0.262637500296745
Austria,2023-01-01,5707962,21443,2869,0,High income,European Region,8907777,3598,10.4285714285714,2020,640784.114824608,2407.22236311035,403.916712329013,1.17072659414031,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,270312315,2167991,290693.897575849,2331.45779429014,110565,594.285714285714,118.901614917077,0.639094931947002
Azerbaijan,2023-01-01,826427,10008,26,0,Upper middle income,European Region,10284951,66,0.285714285714286,2020,80353.0323090504,973.072210066922,6.41714287214397,0.0277798392733505,137412389,2438002,54691.9955726069,970.357880831304,122286.857142857,374.142857142857,48.6718286328983,0.148913934437015,270312315,2167991,290693.897575849,2331.45779429014,110565,594.285714285714,118.901614917077,0.639094931947002
Bahamas,2023-01-01,37491,833,0,0,High income,Region of the Americas,406471,0,0,2020,92235.3624243796,2049.34669386008,0,0,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,184649250,2886271,180911.153570043,2827.84043870074,125141.571428571,616.571428571429,122.608166817416,0.604089366196649
Bahrain,2023-01-01,698774,1539,37,0,High income,Eastern Mediterranean Region,1477469,65.8571428571429,0,2020,472953.408836328,1041.64622066521,44.5742975704687,0,405873320,2757933,326236.726450737,2216.79767886803,375051,1287.28571428571,301.462068243548,1.03470678347463,22521625,343387,30063.7973292019,458.382429042427,603.285714285714,5.42857142857143,0.805317531301072,0.00724652289591303
