Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,cpm_income,dpm_income,Case_7_Day_income,Death_7_Day_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,cpm_region,dpm_region,Case_7_Day_region,Death_7_Day_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
Afghanistan,2022-01-01,158107,7356,23,0,Low income,Eastern Mediterranean Region,38928341,30.2857142857143,1,4061.48826121308,188.962586409732,0.777986256483786,0.0256882254499363,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,16730828,311201,23054.0840537534,428.816434644605,15074.8571428571,164.714285714286,20.7722548859957,0.226966470978669
Albania,2022-01-01,210224,3217,0,0,Upper middle income,European Region,2877800,383.142857142857,4,73050.2467162416,1117.86781569254,133.137416478858,1.38995065675169,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Algeria,2022-01-01,218818,6284,386,8,Lower middle income,African Region,43851043,348.857142857143,7.85714285714286,4990.02954160064,143.303318919917,7.95550388293256,0.179178015381364,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
American Samoa,2022-01-01,10,0,0,0,Upper middle income,,55197,0,0,181.16926644564,0,0,0,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,1393809,16145,,,10719.1428571429,13.2857142857143,,
Andorra,2022-01-01,23740,140,0,0,High income,European Region,77265,287.142857142857,0.142857142857143,307254.254837248,1811.9459004724,3716.33802035666,1.84892438823714,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Angola,2022-01-01,82398,1772,805,2,Lower middle income,African Region,32866268,1608,3.71428571428571,2507.06894984243,53.9154612869341,48.9255427479628,0.11301209234604,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Anguilla,2022-01-01,1674,5,0,0,,,15002,4,0,111585.121983736,333.288894814025,266.63111585122,0,257780,2582,,,1065.85714285714,2.57142857142857,,,1393809,16145,,,10719.1428571429,13.2857142857143,,
Antigua and Barbuda,2022-01-01,4283,119,0,0,High income,Region of the Americas,97928,6.71428571428571,0.142857142857143,43736.2143615718,1215.17849848869,68.5634927118466,1.45879771727333,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Argentina,2022-01-01,5674428,117181,20020,12,Upper middle income,Region of the Americas,45195777,31715.5714285714,23,125552.172717376,2592.74223784227,701.737497035872,0.508897103373176,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Armenia,2022-01-01,344980,7975,50,3,Upper middle income,European Region,2963234,85.8571428571429,5,116420.100471309,2691.31631184037,28.9741353052587,1.68734565005666,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Aruba,2022-01-01,20982,181,521,0,High income,,106766,497.428571428571,0,196523.237734859,1695.29625536219,4659.05411300013,0,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Australia,2022-01-01,462955,2257,37459,4,High income,Western Pacific Region,25499881,23194.4285714286,9.57142857142857,18155.1827634019,88.5102169692478,909.589678925505,0.375351891698184,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Austria,2022-01-01,1282227,13749,3608,16,High income,European Region,9006400,2770.14285714286,17.5714285714286,142368.426896429,1526.58109788595,307.574930842829,1.9509935791691,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Azerbaijan,2022-01-01,617311,8365,364,7,Upper middle income,European Region,10139175,456,11.5714285714286,60883.7504037557,825.017814565781,44.9740733343689,1.14125937972553,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
